ntaname,prediction_time,prob_active_noise_next_2h,prob_active_complaints_next_2h,prob_high_traffic_volume_next_2h,prob_active_subway_ridership_next_2h,prob_active_subway_transfers_next_2h,crime_last_7d,crashes_last_7d,persons_injured_last_7d,pedestrians_injured_last_7d,cyclists_injured_last_7d,noise_last_24h,complaints_last_24h,subway_ridership_last_24h,traffic_volume_last_24h,temp_f,precip_prob,wind_mph,weather_main,hour,day_of_week,is_weekend
Gravesend (East)-Homecrest,2026-06-03 01:00:00,0.14146574840087925,0.10690815781463796,0.0,8.045574231535826e-05,0.0005358028758276666,37.0,0.0,0.0,0.0,0.0,3.0,58.0,2861.0,0.0,64.92,0,8.52,Clear,1,2,0
Gravesend (South),2026-06-03 01:00:00,0.1335843664088572,0.07816712842744795,0.0,8.045574231535826e-05,0.0005358028758276666,25.0,0.0,0.0,0.0,0.0,4.0,28.0,4215.0,0.0,64.85,0,8.86,Clear,1,2,0
Gravesend (West),2026-06-03 01:00:00,0.1991353989054322,0.11723163139741587,0.0,0.0003877999910367818,0.002158752884157342,26.0,0.0,0.0,0.0,0.0,5.0,82.0,16182.0,0.0,64.9,0,8.52,Clear,1,2,0
Great Kills-Eltingville,2026-06-03 01:00:00,0.1587958761034601,0.09518905780129679,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,63.23,0,7.34,Clouds,1,2,0
Greenpoint,2026-06-03 01:00:00,0.17350004896562898,0.18243482012217907,0.3206796986154833,8.045574231535826e-05,0.0005358028758276666,23.0,0.0,0.0,0.0,0.0,18.0,97.0,17633.0,12338.0,65.16,0,6.02,Clouds,1,2,0
Greenwich Village,2026-06-03 01:00:00,0.18319811408708234,0.10426183722131334,0.0,0.0069751372783525304,0.028250892811801875,43.0,0.0,0.0,0.0,0.0,15.0,37.0,52636.0,0.0,65.39,0,5.79,Clouds,1,2,0
Hamilton Heights-Sugar Hill,2026-06-03 01:00:00,0.3266698637377326,0.13858393884599504,0.0,8.045574231535826e-05,0.000994527490578711,64.0,0.0,0.0,0.0,0.0,49.0,127.0,17931.0,0.0,64.94,0,3.89,Clouds,1,2,0
Harlem (North),2026-06-03 01:00:00,0.4411168689337424,0.14725378222060453,0.2915460528645961,8.045574231535826e-05,0.0005358028758276666,149.0,0.0,0.0,0.0,0.0,48.0,142.0,8668.0,18707.0,64.69,0,4.41,Clouds,1,2,0
Harlem (South),2026-06-03 01:00:00,0.24916725687625238,0.12685951764372363,0.10472337165594255,0.0004317303701407062,0.025921673571870908,123.0,0.0,0.0,0.0,0.0,29.0,105.0,36078.0,5782.0,64.76,0,4.41,Clouds,1,2,0
Hell's Kitchen,2026-06-03 01:00:00,0.26623455852034433,0.10563052619622484,0.0,8.045574231535826e-05,0.03710011725674514,129.0,0.0,0.0,0.0,0.0,22.0,79.0,18728.0,0.0,64.98,0,5.37,Clouds,1,2,0
Highbridge,2026-06-03 01:00:00,0.3103556601233214,0.14116203733224647,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,19.0,76.0,0.0,0.0,64.47,0,4.0,Clouds,1,2,0
Gramercy,2026-06-03 01:00:00,0.16080196925779228,0.0924847259488984,0.0,0.004681934055334555,0.11759749868538015,41.0,0.0,0.0,0.0,0.0,7.0,67.0,21331.0,0.0,65.14,0,5.93,Clouds,1,2,0
Highbridge Park,2026-06-03 01:00:00,0.14261917473428096,0.053435282087829925,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.78,0,3.38,Clouds,1,2,0
Highland Park-Cypress Hills Cemeteries (South),2026-06-03 01:00:00,0.141464424213809,0.052294181307440346,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,64.58,0,7.18,Clear,1,2,0
Hollis,2026-06-03 01:00:00,0.16769789430213441,0.10253947565084029,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,62.64,0,6.42,Clear,1,2,0
Holy Cross Cemetery,2026-06-03 01:00:00,0.1415935879701409,0.05292710656117391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.94,0,8.19,Clear,1,2,0
Howard Beach-Lindenwood,2026-06-03 01:00:00,0.13458865443510254,0.12245586251055042,0.18079343926853406,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,27.0,0.0,7745.0,64.45,0,7.63,Clear,1,2,0
Hunts Point,2026-06-03 01:00:00,0.16252977687980077,0.09965441120343103,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,64.6,0,4.61,Clouds,1,2,0
Hutchinson Metro Center,2026-06-03 01:00:00,0.14273825933925702,0.052294181307440346,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,63.66,0,3.8,Clouds,1,2,0
Inwood,2026-06-03 01:00:00,0.21440836280962436,0.10237118265344335,0.002349751142710764,0.00016445071404615018,0.003260745703052459,45.0,0.0,0.0,0.0,0.0,20.0,60.0,12596.0,659.0,64.29,0,3.51,Clouds,1,2,0
Inwood Hill Park,2026-06-03 01:00:00,0.14043883744966887,0.05178600578078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.29,0,3.51,Clouds,1,2,0
Jackson Heights,2026-06-03 01:00:00,0.23224276528989887,0.18059752545817892,0.262840227516764,0.00010336015504656637,0.0010112670457775024,87.0,0.0,0.0,0.0,0.0,27.0,97.0,28268.0,12609.0,64.67,0,5.59,Clouds,1,2,0
Jacob Riis Park-Fort Tilden-Breezy Point Tip,2026-06-03 01:00:00,0.1415935879701409,0.05292710656117391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51,0,8.95,Clear,1,2,0
Jamaica,2026-06-03 01:00:00,0.222411052299119,0.1775126489426809,0.0,0.04534336694578223,0.3134427905726182,195.0,0.0,0.0,0.0,0.0,17.0,70.0,45684.0,0.0,63.01,0,6.53,Clear,1,2,0
Jamaica Estates-Holliswood,2026-06-03 01:00:00,0.13050468498250328,0.07447054814546258,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,62.47,0,5.97,Clear,1,2,0
